OBJECTID,adm1_name,adm1_name_local,adm1_pcode,adm0_name,adm0_ISO3,validity,GlobalID,adm0_M49,pop_estim,pop_estim_source,SHAPE_Length,SHAPE_Area
1,Badakhshan,بدخشان,AF17,Afghanistan,AFG,yes,{E7F98A44-319E-4591-AFF1-C12673DC2BE2},004,,,20.9941789706459,-4.39906735746327
2,Badghis,بادغیس,AF31,Afghanistan,AFG,yes,{62D5CEA1-BE8C-4B54-A7FE-858757ACAA1D},004,,,8.3776446994102,-2.03816692032574
3,Baghlan,بغلان,AF09,Afghanistan,AFG,yes,{EECD9FD5-E600-4548-8AD0-C2A14EF71F4F},004,,,7.78629259961435,-1.77659471882705
4,Balkh,بلخ,AF21,Afghanistan,AFG,yes,{65D95EEB-EF56-4477-93D8-09D00F89F458},004,,,8.39413230098666,-1.69050044190071
5,Bamyan,بامیان,AF10,Afghanistan,AFG,yes,{8AF2665D-BC70-493F-8A71-10B280643E53},004,,,8.58741221355144,-1.76277661718142
6,Daykundi,دایکندی,AF24,Afghanistan,AFG,yes,{4E51D318-2980-42EC-ABF1-11A5DF2DA11B},004,,,8.68273807509862,-1.53323099778933
7,Farah,فراه,AF33,Afghanistan,AFG,yes,{7856C780-5B81-4BD9-B962-D580D2F1F01C},004,,,15.3533441131444,-4.7205591717513
8,Faryab,فاریاب,AF29,Afghanistan,AFG,yes,{C7AD85C3-8254-4203-B320-DBD339CF609A},004,,,9.14895541806975,-2.06708572376207
9,Ghazni,غزنی,AF11,Afghanistan,AFG,yes,{5E54CB69-5EA1-4B43-8304-00EC3EFE04E0},004,,,10.2859013236454,-2.09903834508619
10,Ghor,غور,AF23,Afghanistan,AFG,yes,{851AD8E8-F73A-4829-8EDB-CE62921CBFC5},004,,,14.2175440272457,-3.6209423121582
11,Hilmand,هلمند,AF30,Afghanistan,AFG,yes,{8756C7B2-6A7B-475D-836A-A367205C9114},004,,,14.7085744627511,-5.65004974471784
12,Hirat,هرات,AF32,Afghanistan,AFG,yes,{77EB8BF3-BFA0-4FA6-993A-49E5B173C1C3},004,,,16.5717784273509,-5.32436307494944
13,Jawzjan,جوزجان,AF28,Afghanistan,AFG,yes,{5424166F-9B1D-44FE-BD26-82F372D14B1B},004,,,6.20847690322892,-1.12193930955723
14,Kabul,کابل,AF01,Afghanistan,AFG,yes,{52CD6765-EBAA-470B-8159-12388F8330D4},004,,,4.40529957667992,-0.457584181202465
15,Kandahar,کندهار,AF27,Afghanistan,AFG,yes,{F30AB063-E4A5-455F-BB17-70AB651A60CD},004,,,14.4360910017194,-5.10936689545877
16,Kapisa,کاپیسا,AF02,Afghanistan,AFG,yes,{44C62282-6F1A-4993-8B9D-5376F076B620},004,,,2.48150770329564,-0.185832757651953
17,Khost,خوست,AF14,Afghanistan,AFG,yes,{12BB0C06-23B5-4EE8-9EB0-A43C31CF371D},004,,,3.69880695122154,-0.415389721820376
18,Kunar,کنر ها,AF15,Afghanistan,AFG,yes,{B48D049F-E4C7-4BC4-8CB2-73BB535DDB2E},004,,,4.25186360146281,-0.478470624902596
19,Kunduz,کندز,AF19,Afghanistan,AFG,yes,{CD97760B-8C35-4016-891E-C95857D5B9C3},004,,,4.8198331611078,-0.79909605188988
20,Laghman,لغمان,AF07,Afghanistan,AFG,yes,{D0FED962-F927-47CD-9F1B-1C481FDCBD9B},004,,,3.24341981949812,-0.37785044546925
